arm,lead,method,threshold_mmh,scale_km,fss
CorrDiff,pooled,model_m0,8,1,0.233256
CorrDiff,pooled,model_m0,8,5,0.395428
CorrDiff,pooled,model_m0,8,11,0.518942
CorrDiff,pooled,model_m0,8,21,0.645876
CorrDiff,pooled,model_m0,8,51,0.794483
CorrDiff,pooled,model_m0,8,101,0.859848
CorrDiff,pooled,model_mean,0.5,1,0.725165
CorrDiff,pooled,model_mean,0.5,5,0.826984
CorrDiff,pooled,model_mean,0.5,11,0.876392
CorrDiff,pooled,model_mean,0.5,21,0.913395
CorrDiff,pooled,model_mean,0.5,51,0.951223
CorrDiff,pooled,model_mean,0.5,101,0.969173
CorrDiff,pooled,model_mean,1,1,0.672756
CorrDiff,pooled,model_mean,1,5,0.793340
CorrDiff,pooled,model_mean,1,11,0.852675
CorrDiff,pooled,model_mean,1,21,0.897978
CorrDiff,pooled,model_mean,1,51,0.945374
CorrDiff,pooled,model_mean,1,101,0.968059
CorrDiff,pooled,model_mean,2,1,0.577172
CorrDiff,pooled,model_mean,2,5,0.725957
CorrDiff,pooled,model_mean,2,11,0.801051
CorrDiff,pooled,model_mean,2,21,0.859967
CorrDiff,pooled,model_mean,2,51,0.922840
CorrDiff,pooled,model_mean,2,101,0.953405
CorrDiff,pooled,model_mean,4,1,0.450275
CorrDiff,pooled,model_mean,4,5,0.626025
CorrDiff,pooled,model_mean,4,11,0.717563
CorrDiff,pooled,model_mean,4,21,0.792235
CorrDiff,pooled,model_mean,4,51,0.872827
CorrDiff,pooled,model_mean,4,101,0.910515
CorrDiff,pooled,model_mean,8,1,0.311004
CorrDiff,pooled,model_mean,8,5,0.476772
CorrDiff,pooled,model_mean,8,11,0.577922
CorrDiff,pooled,model_mean,8,21,0.673311
CorrDiff,pooled,model_mean,8,51,0.776573
CorrDiff,pooled,model_mean,8,101,0.814956
CorrDiff,pooled,persistence,0.5,1,0.550427
CorrDiff,pooled,persistence,0.5,5,0.652538
CorrDiff,pooled,persistence,0.5,11,0.724094
CorrDiff,pooled,persistence,0.5,21,0.797310
CorrDiff,pooled,persistence,0.5,51,0.893616
